Factorisations Of Cunningham Numbers C-(5,n) = 5^n - 1

Canonical Representation Of Factorisations

1. Factorisations are given from smallest to largest factor, with a period '.'
   separating factors.
2. Multiplicity of factors is indicated with the carat '^' in ascii tradition
   for the text version of the tables but not the HTML version.
3. The backslash '\' is used to indicate continuation of a line, the decimal
   digit representation of the number does not stop but continues on the next
   line as if no break had occured. This can sometimes make for bad breaks, but
   such is life.

Notation Used In The Tables

1. #Fac is the number of (non distinct) prime factors in an expression.
2. A plussed #Fac means that more prime factors exist but they are unknown due
   to an unfactored composite in the expression.

========================================================================================================================

   n  #Fac  Factorisation
  83     5  2^2.20515111.1431185706701868962383741.88040095945103834627376781
  84    22  2^4.3^2.7^2.13.29.31.43.127.379.449.601.2521.7603.19531.519499.234750601.24587411156281
  85     9  2^2.11.71.409.1531.466344409.34563155350221618511.8198241112969626815581
  86    10  2^3.3.1549.9547.1644512641.7866608083.1628744948329.172827552198815888791
  87     9  2^2.31.59.5569.6961.35671.22125996444329.28870194250662203210437116612769
  88    15  2^5.3.13.23.67.89.313.5281.12207031.1030330938209.9080418348371887359375390001
  89     8  2^2.179.9807089.14597959.834019001.8157179360521.231669654363683130095909
  90    22  2^3.3^3.7.11.19.31.61.71.181.521.829.1171.1741.5167.7621.169831.297315901.60081451169922001
  91     6  2^2.19531.305175781.9680647790568589086355559.17499733663152976533452519
  92    11  2^4.3.13.47.8971.332207361361.42272797713043.5465713352000770660547109750601
  93     9  2^2.31^2.1861.148429.878851.625552508473588471.172974812463239310024750410929
  94     8  2^3.3.2069.15888756269.3602372010909260861.177635683940025046467781066894531
  95    11  2^2.11.71.191.2851.6271.3981071.4113691.1245576402371959291.11600321878916922053491
  96    22  2^7.3^2.7.13.17.31.97.313.601.2593.11489.390001.29423041.152587500001.240031591394168814433
  97     5  2^2.389.264811.153159805660301568024613754993807288151489686913246436306439
  98    11  2^3.3.29.449.19531.49105547.1866013003.2481357870461.227376585863531112677002031251
  99    12  2^2.19.31.199.829.143551.1731511.12207031.386478495679.22542470482159.153560376376050799
 100    20  2^4.3.11.13.41.71.101.251.401.521.1901.9161.239201.9384251.424256201.50150933101.89620825374601
 101     5  2^2.5937018283241.3434487311396589821473854121.483593153887747265029536907421
 102    18  2^3.3^2.7.31.103.409.3061.8467.90271.317731.528667.41540861.466344409.60119016343.654652168021
 103     6  2^2.3709.28429.59117897713198738371603984809.39546955636451768643571562540114219
 104    17  2^5.3.13^2.53.313.5227.38923.51169.305175781.537181587281.83181652304609.129044008326199409
 105    17  2^2.11.31.71.181.211.379.631.1741.4201.19531.519499.1736701.85280581.119461537021.21226783250214361
 106    10  2^3.3.107.5960555749.17154094481.28838378869.27145365052629449.599659003321309822423087
 107     7  2^2.6421.5486016363791.35411885288978941.172163150940018661.717433171088016374418821
 108    25  2^4.3^4.7.13.19.31.37.109.163.271.487.601.829.4159.5167.31051.6597973.16018507.14551915228363037109375001
 109     6  2^2.1091.1007161.1528399.2293559892404294400692399012979688850301546383400890423075969
 110    17  2^3.3.11^2.23.67.71.521.5281.103511.511831.12207031.65628751.190295821.10910444855403996246103496881
 111     8  2^2.31.149.3109.13971969971.8737481256739.54928520946880307112306785731407655242899973469
 112    20  2^6.3.13.17.29.113.313.337.449.11489.19531.234750601.2520917617.59509429687890001.37007700327977836913
 113    10  2^2.2939.6329.129499.308491.304247586761.2084303944451.620216264269531.8237123176890810696379
 114    16  2^3.3^2.7.31.191.229.761.6271.19609.213029.3981071.75649382555448580095589.11735415506748076408140121
 115    14  2^2.11.71.461.691.8971.689081.2855911.29028071.824480311.17223586571.332207361361.100062970166640331
 116    12  2^4.3.13.59.35671.5096867.6090817323763.22125996444329.1334402673828313149547634216455312875601
 117    10  2^2.19.31.79.829.223963741.305175781.608459012088799.937938782117311845318745554345005320717861
 118    10  2^3.3.827.5242462229.3237765225301.2059647179472887.21180247636732981.2047572230657338751575051
 119    10  2^2.239.409.1429.4999.19531.466344409.7497182681291140146079.788868477693980100643230089490226571
 120    27  2^5.3^2.7.11.13.31.41.61.71.181.241.313.521.601.1741.2281.7621.9161.390001.69566521.632133361.2332031717285\
            1318360001
 121     6  2^2.12101.486179.12207031.13094322377956920597215509541997540493466263550896158313340716530769
 122    11  2^3.3.367.8419.9029.918585913061.15571335384347.14008364639128540436401.140194179307171898833699259
 123    10  2^2.31.739.960139.1785961.2238236249.9025583299.5079304643216687969.5832474690386022428273180864659
 124    13  2^4.3.13.1303.1861.21207101.28086211607.625552508473588471.8124604717965111529.102651353523520067851969
 125    13  2^2.11.71.101.251.401.3597751.9384251.28707251.4032808198751.767186663625251.24687045214139234043375683501
 126    27  2^3.3^3.7^2.19.29.31.43.127.379.449.829.883.5167.7603.19531.280729.406729.519499.2161279.24132781.169241650\
            3.23792163643711
 127     3  2^2.14693679385278593849609206715278070972733319459651094018859396328480215743184089660644531
 128    22  2^9.3.13.17.313.641.769.2593.11489.29423041.75068993.241931001601.3666499598977.961329567826437419512256640\
            01
 129     8  2^2.31.18471511.1644512641.172827552198815888791.43955934961951833386625799.51349797354047205216257689
 130    16  2^3.3.11.71.131.521.5227.18461.38923.305175781.15188886343541.1034150930241911.15199221608544481.2098620782\
            5565581
 131     7  2^2.2621.23928199.34720241.16815642611861.250805666433416532678429525124977090318975999001796354124089
 132    22  2^4.3^2.7.13.23.31.67.89.199.601.1453.5281.595123.12207031.190771747.386478495679.1030330938209.65093871834\
            17404924784917
 133    12  2^2.191.6271.9311.19531.65171.281429.3981071.3257947519.152317058321.29090007107767075239783794592001366542\
            871
 134    10  2^3.3.269.1609.26399.2454335007529.604088623657497125653141.11293772630057337854244300009061892827351888021
 135    20  2^2.11.19.31.71.109.181.271.541.829.1171.1741.4159.11071.31051.169831.297315901.1312315694449748688331.2694\
            1244373060650224561
 136    21  2^5.3.13.137.313.409.1973.3061.20129.45289.623017.41540861.466344409.12447002677.938894988049.1361753880209.
            4959636586609
 137     8  2^2.20551.603349.48102071.121719631478506669.7851027307722624763151.251755028858658462627642052961230751431
 138    18  2^3.3^2.7.31.47.139.6211.8971.66163549.253592389.332207361361.598761682261.8868050880709.42272797713043.403\
            316413944121
 139     5  2^2.21521602057721.6789441546024769741462601111.24550591546653776667941845268908441565415743319193209001
 140    23  2^4.3.11.13.29.41.71.211.281.449.521.631.4201.9161.19531.15216601.85280581.234750601.4698932281.13148832195\
            720299503896018648521
 141     5  2^2.31.177635683940025046467781066894531.16286160623917663079467944573580125726889931566772922392814390121
 142     9  2^3.3.569.4261.5747338499820296170481.288231038713838413442281.18607929421228039083223253529869111644362732\
            899
 143     7  2^2.12207031.305175781.24615836446631.53130566763791958299.460183952753824357170225842292658707895690816315\
            909
 144    28  2^6.3^3.7.13.17.19.31.37.73.313.601.829.1297.5167.11489.390001.543097.6597973.1503418321.152587500001.27391\
            77855667309845605995807633
 145    10  2^2.11.59.71.35671.1461311.22125996444329.2158365113981511371558358567665231.488654500355218081336311051543\
            759628081
 146    10  2^3.3.4853479.5729041.63554310563.777612767772190289.3570677866897550288203.9519524151770349914726200576714\
            027279
 147    11  2^2.31.379.19531.519499.24556351.5071357999.2035895040229.203906616815994386234329833781.227376585863531112\
            677002031251
 148    15  2^4.3.13.149.9103.9769.40849.29010221.13971969971.8737481256739.45920153384867.5102410950961837579307333639\
            18820917976121
 149     3  2^2.35032461608120426773093239582247903282006548546912894293926707097244777067146515037165954709053039550781
 150    29  2^3.3^2.7.11.31.61.71.101.151.181.251.401.521.1741.1901.3301.7621.118801.1989151.9384251.20775901.24665701.
            49892851.149439601.183794551.50150933101
 151     8  2^2.1175989.2237519.389439261961.12799319666401.2843809592323334251225153490677489.234808350683195588203155\
            40345862729
 152    19  2^5.3.13.191.313.457.761.6271.19609.213029.3981071.4885168129.2864226125209369.21363981507860375753.2165447\
            2202540732126905077281
 153    14  2^2.19.31.409.829.4591.90271.317731.26481241.466344409.654652168021.360143672909416579.28596369159272276742\
            1088565601855215949
 154    16  2^3.3.23.29.67.449.5281.19531.12207031.527093491.20828886541.8090594434231.162715052426691233701.4997006151\
            6036179615325895945741
 155    13  2^2.11.71.311.1861.11161.257611.5624951.31473312961.625552508473588471.21783999170235219053011.174583335852\
            767865379025002452121
 156    24  2^4.3^2.7.13^2.31.53.79.157.601.3121.5227.38923.8684521.305175781.4056854881.22735632934561.83181652304609.
            608459012088799.667929705480493
 157     7  2^2.32029.5129819.2107089779.8616314452100494153901371725720169.4587548699755676969742331799602074877905422\
            766102260881
 158    11  2^3.3.18251687.7897663181.511465533067.205367807127911.58523123221688392679.344120456368919234899.373990955\
            25167136010188229
 159     8  2^2.31.5960555749.17154094481.1775305720077559.27145365052629449.223967815154673247771933930986251232800839\
            3109037131818519
 160    26  2^7.3.11.13.17.41.71.241.313.521.2593.9161.11489.25601.29423041.131349761.632133361.167597261761.9094568478\
            14334401.24625444126052524088217281
 161     6  2^2.8971.19531.332207361361.1469386746678216989397901405448901778556342705433890596470719221994542710855107\
            30718993828121
 162    25  2^3.3^5.7.19.31.109.163.271.487.829.1783.4159.4861.5023.5167.31051.16018507.2066067271380136212224701233463.
            11419697846380955982026777206637491
 163     8  2^2.4599209.40100609.675775181.6582151087844246659.102556399583828574447011133455059.2541462766396986870745\
            222882425433052891
 164    16  2^4.3.13.83.43543.193357.221401.6355001.2238236249.1148205782281.9472026608675509.5079304643216687969.56373\
            078952722628530598981268453
 165    19  2^2.11^2.31.71.181.199.331.1741.2311.103511.511831.12207031.65628751.190295821.386478495679.986716511563526\
            7180926131.13585095374919980427914311
 166    10  2^3.3.167.20515111.1431185706701868962383741.4029666108840585686296627.88040095945103834627376781.256078770\
            2841639767474730913969
 167     5  2^2.18371.53441.1361204447657665492151527789766442232666296870678835610403733269298091781079248108419798324\
            52900690680385721
 168    29  2^5.3^2.7^2.13.29.31.43.127.313.379.449.601.2521.6553.7603.19531.90217.390001.519499.234750601.245874111562\
            81.59509429687890001.6019022585035590658668001
 169     6  2^2.13859.305175781.784646826705980283039372085276899721.10067335901765297228504234600727488967589607275738\
            01229970212800434559
 170    18  2^3.3.11.71.409.521.1531.3061.41540861.75752681.247515241.466344409.504156421.34563155350221618511.68795069\
            664507129341.8198241112969626815581
 171    11  2^2.19^2.31.191.829.6271.3981071.11735415506748076408140121.16088618804380305453087171930478326510082728281\
            0075925369403839312088918579
 172    15  2^4.3.13.173.1549.9547.1644512641.7866608083.1628744948329.2171388367013.172827552198815888791.132331554743\
            163541916284364878460504933118649
 173     6  2^2.1039.3461.1708272343265311.3399198310201876309603479571994210993424343866291299248077248995481719050792\
            54114627192212342747249
 174    18  2^3.3^2.7.31.59.349.5569.6961.35671.5096867.6090817323763.22125996444329.210390487070809.225003581339659919\
            72941.28870194250662203210437116612769
 175    22  2^2.11.71.101.211.251.401.631.4201.12601.19531.28001.50051.200201.8894201.9384251.22661801.85280581.1657309\
            151.38105263380318401.16711449148651875290388101
 176    22  2^6.3.13.17.23.67.89.313.5281.11489.13729.929281.12207031.1030330938209.71225159567951317923809.91029014606\
            406186465761.9080418348371887359375390001
 177     8  2^2.31.198241.21180247636732981.2047572230657338751575051.340863370420651571324835367261.143656408334378524\
            08745701299256005364862514221
 178    13  2^3.3.179.9807089.14597959.834019001.8157179360521.39387996609449861.56522267529181963.23166965436368313009\
            5909.12094715786677995586454978647
 179     8  2^2.359.3581.75539.17315029.100894073362387242965129.192314444462213728810818160511138304152610629589418566\
            747969452950500442408719960811
 180    34  2^4.3^3.7.11.13.19.31.37.41.61.71.181.521.601.829.1171.1741.2281.5167.7621.9161.169831.6597973.20478961.695\
            66521.297315901.6794091374761.25535754811081.60081451169922001
 181     3  2^2.8156630584998155658387867636570684444626455322586208184698295569337154055746857784028620158567335352017\
            83524826169013977050781
 182    14  2^3.3.29.449.5227.19531.38923.305175781.15887476811320661.9680647790568589086355559.17499733663152976533452\
            519.15994146485373751289418997754783021
 183     8  2^2.31.8419.38431.918585913061.140194179307171898833699259.157869106116085721519336159195709200192877333110\
            30065854227025502988497719030991
 184    15  2^5.3.13.47.313.8971.332207361361.42272797713043.150220315444217.5465713352000770660547109750601.2147520884\
            91462210591995581828628861192144614553
 185    12  2^2.11.71.149.2591.30810641.13971969971.8737481256739.21829321837586441.715560993113581787837326861.2877759\
            9166877704189454473512597567684018827891
 186    19  2^3.3^2.7.31^2.1303.1861.148429.878851.21207101.258065887.28086211607.75005167927.625552508473588471.533456\
            71490722200466369.172974812463239310024750410929
 187     8  2^2.409.4200769.12207031.466344409.1202338040280510524134632541097924516136661.1083765449307240209607018228\
            295109706706942047703089360879158269
 188    14  2^4.3.13.2069.5077.12409.15888756269.329573417220613.3602372010909260861.177635683940025046467781066894531.
            935213864500231208652603316429973471246089
 189    17  2^2.19.31.109.271.379.829.4159.19531.31051.280729.519499.2161279.23792163643711.305921358183421.10072805480\
            453583986931919773741297628474934622266057811409981
 190    20  2^3.3.11.71.191.521.761.2851.4561.6271.19609.213029.3981071.4113691.1245576402371959291.1160032187891692205\
            3491.179763436784239734042181.309828362361188845069741
 191     5  2^2.112691.60426671.116974968024491232613821151817364810434270841732146208887877077707701807087477031590198\
            9031997671838650855091818008950671
 192    29  2^8.3^2.7.13.17.31.97.193.313.601.641.2593.11489.390001.29423041.75068993.152587500001.241931001601.5207826\
            497153857.240031591394168814433.539344757336151926206665601
 193     5  2^2.749154725101.406875383561091922623241829.65330789592975635703206954117727009564228490940686098222867448\
            2418078001190973372748580182250689
 194    12  2^3.3.389.29683.261707.264811.547663.90130760102421063383.27430239803369083066006288929529.1531598056603015\
            68024613754993807288151489686913246436306439
 195    17  2^2.11.31.71.79.131.181.1741.14821.305175781.933692761.608459012088799.1034150930241911.20986207825565581.1\
            3139700116898999203751361.86047082949427536089202802741
 196    18  2^4.3.13.29.197.449.19531.49105547.234750601.1866013003.2481357870461.164204573839769.74535675530760254357.
            21441970593484574539001.227376585863531112677002031251
 197     5  2^2.470323176131.362204827770839.73060097624739442418628717991600740673136510709193976754351955725302186390\
            3691190053568311733456440015345138409
 198    24  2^3.3^3.7.19.23.31.67.199.829.5167.5281.143551.595123.1731511.12207031.190771747.386478495679.2254247048215\
            9.153560376376050799.874300184250616439267985523227691404297001
 199     4  2^2.53731.5790898436527462458491433300869260055266282191585087875808301180686846358745773800212116676709640\
            2607032872918381590535488973250751801
 200    28  2^5.3.11.13.41.71.101.241.251.313.401.521.1901.4001.9161.132001.239201.776401.9384251.424256201.632133361.5\
            0150933101.89620825374601.201729070811027930976007420652223887947601
 201    10  2^2.31.269.1609.26399.2454335007529.604088623657497125653141.1248228732195063112609361470351.11866556519355\
            3599548973071707180632259340693379855907500925271
 202     8  2^3.3.5937018283241.3434487311396589821473854121.483593153887747265029536907421.657384087684176504509773804\
            4023218580610053625908525039752324422200521
 203     9  2^2.59.19531.35671.493291.22125996444329.4978655062910170670969991331.8706448681966647984374710400846843979\
            98331787855406407455272073598393651325508166801
 204    30  2^4.3^2.7.13.31.103.409.601.1973.3061.6733.8467.20129.45289.90271.317731.528667.4613053.19724557.34288117.4\
            1540861.466344409.12447002677.60119016343.654652168021.26837241260899651321
 205    10  2^2.11.71.15991.2238236249.1256950067521.5079304643216687969.9353066485119999732284835819085027408231.29126\
            077906797054524253118878873401242767428008603378081
 206     9  2^3.3.3709.28429.59117897713198738371603984809.39546955636451768643571562540114219.164346021921044126127443\
            451100580464515251340647713125993808110555013021
 207    13  2^2.19.31.139.829.6211.8971.10047916621.332207361361.598761682261.8868050880709.181332832006124593894524017\
            56767476520342710009526710760461219593942056686456982781
 208    25  2^6.3.13^2.17.53.313.5227.11489.38923.51169.247161617.305175781.825256433.2220784177.537181587281.313082491\
            37777.83181652304609.129044008326199409.889988147002015336570560929
 209     9  2^2.191.419.6271.56431.3981071.12207031.2207796329769015611012259562329758321619047669680390737734349233700\
            0542711435241254425456657076461909793693026506147389
 210    35  2^3.3^2.7^2.11.29.31.43.61.71.127.181.211.379.421.449.521.631.1741.4201.7603.7621.19531.519499.1736701.5236\
            141.15216601.85280581.4698932281.119461537021.21226783250214361.1354224218968567573270561
 211     7  2^2.5594292675731.37973612258438259769.2047676978710884689089.144115393066310961947385445876092809.12117471\
            589560986330527567615247238634978313717528365907029
 212    14  2^4.3.13.107.5960555749.17154094481.28838378869.27145365052629449.8871726015923707071209.599659003321309822\
            423087.534366212823606171881874993300544219189772104182089
 213     7  2^2.31.569.156309592445437909.18607929421228039083223253529869111644362732899.37016324282165384586357076391\
            4660810458665023659282594126568842526686335908781669
 214    11  2^3.3.643.6421.5486016363791.35411885288978941.172163150940018661.717433171088016374418821.1597453556775312\
            26795726527119537776550594226912629399294136965936054647
 215    12  2^2.11.71.431.1291.144982241.1644512641.1273316896028212631.172827552198815888791.1476723231934366547296339\
            034741.14100541201973609621116340293054216571892383095715084191
 216    36  2^5.3^4.7.13.19.31.37.73.109.163.271.313.487.601.829.4159.5167.31051.73009.390001.543097.1853281.3314953.65\
            97973.16018507.1503418321.36280398313.13012873776055827785521.14551915228363037109375001
 217     8  2^2.1861.8681.19531.1828916514769.625552508473588471.328800666136699978864520621184680471189416600836435950\
            52667236211020251230387736755622191604390430911142652289
 218    11  2^3.3.1091.19403.1007161.1528399.4046322895447485867367.32707684672709516281678338357373622217207225350621.
            2293559892404294400692399012979688850301546383400890423075969
 219    11  2^2.31.439.429241.2183431.4853479.5729041.239701757320911389817996792709.9519524151770349914726200576714027\
            279.366676038760615062548074285016706043440761337360791812501
 220    27  2^4.3.11^2.13.23.41.67.71.89.521.5281.9161.103511.245521.511831.1458601.12207031.65628751.190295821.1030330\
            938209.2802204291103029121.85725237432926769781584361.10910444855403996246103496881
 221    10  2^2.409.351391.305175781.466344409.231452141519.183276094190104631834639.1436003589550079403417985191612889\
            433318011249.5954120723086877446689864001520990199500692430959
 222    21  2^3.3^2.7.31.149.223.3109.5107.9103.668221.13844587.29010221.107903101.13971969971.8737481256739.4592015338\
            4867.221746234901611997486023.54928520946880307112306785731407655242899973469
 223     4  2^2.355909.521089119787280089254800421111525630620125478529313813707020482611788594850878926775848894341419\
            918790524954291125141402303617973258996735924842895159
 224    28  2^7.3.13.17.29.113.313.337.449.2593.11489.19531.271489.1149569.10922689.29423041.234750601.2520917617.59509\
            429687890001.465314420407473281.37007700327977836913.7957141013471106527440814723329
 225    26  2^2.11.19.31.71.101.151.181.251.401.829.1171.1741.3301.169831.1274851.1989151.9384251.49892851.183794551.29\
            7315901.1086749551.1390332823651.489346511141264975761501.798134988394850122586201262390451
 226    16  2^3.3.227.2939.6329.129499.308491.1387189.12249784663.304247586761.2084303944451.620216264269531.8237123176\
            890810696379.416072767607140626504228216362738974973739625245422473584889
 227     9  2^2.863773591.17408515139.107857890714179.154907695140797990849.239976686263858506551.168313696999974996874\
            05534401.114223618784447712095364474974480764422513325227090232439
 228    25  2^4.3^2.7.13.31.191.229.601.761.6271.19609.22573.213029.3981071.53590717.4885168129.2108505761893.286422612\
            5209369.75649382555448580095589.11735415506748076408140121.86336058161143199543775877
 229     7  2^2.2749.53129.63785116081353654247759.25703365361608909110896940589.12101947939303673324813381857141044766\
            729906970667251641650660796379874056373395515095101692007273411
 230    21  2^3.3.11.47.71.461.521.691.8971.73141.689081.2855911.29028071.824480311.17223586571.332207361361.4227279771\
            3043.100062970166640331.529958401900871889532705668013589387152384352866888324141
 231    15  2^2.31.199.379.19531.519499.12207031.527093491.13920748381.386478495679.8090594434231.162715052426691233701.
            267859557529209897722406319386619.250176727235862117504718715345525839542079
 232    20  2^5.3.13.59.233.313.929.33409.35671.5096867.6090817323763.22125996444329.397823386118610689.154735534177749\
            4553.431947226814793053965448991778881.1334402673828313149547634216455312875601
 233     7  2^2.1318781.412500871.208771951788632309319091684496790985222571.122893706196784651098718052024745515496783\
            278694509.129763238102791965820002447228325506194347966293946269029
 234    23  2^3.3^3.7.19.31.79.829.3121.5167.5227.38923.40483.223963741.305175781.43236180703.22735632934561.6084590120\
            88799.121949664589584488031947458631250949.937938782117311845318745554345005320717861
 235    12  2^2.11.71.941.4231.20885861.68308861.96766610646500911.177635683940025046467781066894531.119132304802963249\
            038638582170539223247561.4984167530796197623272835380045340488913712527061
 236    13  2^4.3.13.827.5242462229.3237765225301.2059647179472887.21180247636732981.2047572230657338751575051.11574098\
            22348098469384602128957288052006070702052516944254770910797210840078500601
 237    10  2^2.31.12799.657439.205367807127911.58523123221688392679.344120456368919234899.447298617719114285037649.234\
            5686307673715163413883715539611340581195468538385022919593678861026860089
 238    20  2^3.3.29.239.409.449.1429.2381.3061.4999.19531.25229.4172141.41540861.466344409.7497182681291140146079.7888\
            68477693980100643230089490226571.60433492605929799024858062086345509864222351309382109
 239     5  2^2.479.40093613041379.147353459691520632244555607717478117134030802606181953708010371929816616894754964253\
            8525464219037490151421698581086237756602026720817756235926209843391
 240    35  2^6.3^2.7.11.13.17.31.41.61.71.181.241.313.521.601.1741.2281.7621.9161.11489.25601.390001.69566521.63213336\
            1.2172116161.152587500001.909456847814334401.23320317172851318360001.249573426944146284704352710315893441
 241    10  2^2.79531.578401.882061.464913101.128338427949683383916242111.23296571833941039118079506609079.105492934403\
            0207429836604785995221.11890580692401906619384191134004411847026907908776759
 242    16  2^3.3.23.67.5281.12101.486179.12207031.374499841.304639362281.11449313571047243.4600715686162128721.1281911\
            2747383653095727.13094322377956920597215509541997540493466263550896158313340716530769
 243    14  2^2.19.31.109.271.829.1459.4159.4861.31051.14001661.11419697846380955982026777206637491.8373477390050276652\
            433423254294223385759021604794138850420132209270841677869418399601815970496419547849
 244    18  2^4.3.13.367.733.8419.9029.61001.19811275733.918585913061.15571335384347.26933356951273517.1400836463912854\
            0436401.140194179307171898833699259.30319589876521738837586350091112786441985691445677
 245    16  2^2.11.71.211.491.631.4201.8821.10781.19531.85280581.16650328910366149531471.227376585863531112677002031251.
            3129890246814727420720419358593888931.1098360442691511496324435051973573719721299106911
 246    20  2^3.3^2.7.31.83.739.43543.221401.960139.1785961.2238236249.9025583299.9472026608675509.5079304643216687969.
            30970420211207224741561.5832474690386022428273180864659.3179610795566616049227976098726121
 247    10  2^2.191.6271.29641.3981071.305175781.893134065430622331883159985777080426121.732646079981887983766207482536\
            10482190769.3916581678566130795968630368428499724365376308585023695226827857169
 248    16  2^5.3.13.313.1303.1861.21207101.28086211607.625552508473588471.8124604717965111529.102651353523520067851969.
            751114601164400963558298106851275193494354988352771579238818981647550964507812890001
 249    12  2^2.31.499.12451.169321.20515111.64613577662440706821.486307761332920261532701.1431185706701868962383741.88\
            040095945103834627376781.104329813967341854028495594566831365599906075380454045137769
 250    21  2^3.3.11.71.101.251.401.521.1901.3001.3597751.9384251.28707251.50150933101.4032808198751.767186663625251.51\
